start	end	text
429680	432860	protože tyto prostory jsou vykachličkované.
435160	439980	Nechceme město kritizovat. Chceme pouze, aby tento problém se začal
439980	444360	systematicky řešit nejen pro náš dům, ale pro všechny věžové domy.
445000	449320	Proto žádáme, aby město prověřilo možnosti zlepšení parkování
449320	453440	v této lokalitě, například formou dopravní studie
453440	457180	nebo návrhu konkrétních opatření.
457180	468360	Zároveň žádáme, aby se problematice rozšíření parkovacích míst v naší lokalitě věnovala i Komise pro dopravu města.
469360	486380	Také žádáme vyjádření města na naší žádost podle zákona 106 1999 zákonníků podanou panu primátorovi mailem dne 25.2.26.
486380	492160	šlo to i přes podatelnou. A nedostali jsme žádnou odpověď, žádné vyjádření.
494160	500360	A dovolím si na závěr jednoduchou otázku. Je město připraveno situaci
500360	506400	v této lokalitě skutečně analyzovat a hledat řešení, které pomůže obyvatelům
506400	511220	všech pěti věžových domů? Děkuji vám za pozornost.
511220	520560	Děkujeme za vystoupení, samozřejmě vším, co zaznělo, se budeme zabývat a určitě dáme písemnou odpověď a poprosím pana primátora o reakci.
520880	528840	Já jenom v kostce, jenom ať víte, já jsem tam v holinském roce byl, když jsem byl na setkém občanů, jsem byl přímo u běžových domů, přímo jsem to tam z občany, kteří tam došli, tak jsme to řešili na místě.
528840	532960	O té problematice víme, prakticky samozřejmě musíme věřmyslet,
533500	536440	co se v té lokalitě dá dělat, protože tak, jak se mu to říkají občanům,
536600	541360	kteří tam u toho byli, určitě jsou varianta tady navýšení počtu,
541520	546720	což se v jednotkách, co se týká udělaní parkovacího místa,
546820	550460	míst, o těch klepačů, co se sám říká, to se baví opravdu o jednotkách míst,
550900	553940	což sice v té lokalitě určitě pomůže každé místo navíc,
553940	557760	To se nemusíme tady o tom přijít, ale tak, jak říkáte, je otázkou,
557820	559840	jestli tam najdeme vůbec nějaké systémové řešení,
559920	565060	protože těch než jí překážek, ale těch okolností, které tam jsou, je několik ro.
565160	568660	Takže každopádně my toto řešíme už od toho loňského roku, kdy jsme tam byli.
569380	574360	A určitě se tím zabýváme nejen v rámci lokality věžové domy,
574420	577140	ale vůbec po celém městě vždycky řešíme to parkování,
577140	585660	protože samozřejmě ta kapacita toho města, tak jak jste sám řekl, byla stavěna na jinou dopravní situaci, co se týká počtu parkovat, počtu aut obecně.
586440	592940	Na druhou stranu to město nafukovací není a samozřejmě musíme se s tím nějakým způsobem všichni, když se řeknu, poprat.
593660	597920	A i této lokalitě se s ním budeme zabývat i dál, jako jaké ty možnosti jsou.
597920	605340	ale je to samozřejmě vždycky v nějakém kompromisu mezi parkovacími místy zelení
605340	610660	a tím, co chtějí občané, protože v tu danou chvíli nemůžeme to město,
610740	614920	to řeknu z velkých zelených ploch, z toho dělat povrchová parkoviště,
615580	620020	protože v tu danou chvíli ta zelení, kterou sami ti občané chtějí,
620120	623420	tak je to proti tomu. Takže říkám, je to kompromis na všech stranách
623420	626340	a i v této lokalitě samozřejmě budeme hledat cesty k tomu,
626340	630460	aby tam ta parkovací místna nová vznikla. A tu 106, co jste říkal,
630860	634260	to se přiznám, že já vím, že ke mně došla, společně s tou peticí,
634660	638800	já jsem to předával dál, aby bylo odpovězeno, takže to mi prošetříme
638800	644340	a zjistím, kde se to zaseklo, to se omlouvám, protože ty informace právě beru,
645020	649260	že má dodat ten odbor, který se tím aktuálně zabývá v rámci té 106,
649400	653260	co jste poslal, takže tam my prověříme, proč nebylo odpovězeno
653260	654220	a určitě to napravíme.
655000	660660	Jestli na to mohu jenom zareagovat, tak prakticky ta 106 je v návaznosti
660660	664820	na rozšíření těch parkovacích míst, protože pokud dojde k vybagrování
664820	669420	těch potenciálně nebezpečných nádrží, které v zemi koronují
669420	674160	a hrozí tam propadení, navíc je tam spousta litinových deklů,
674260	678920	který může bezdomovec nějaký odcizit, pak tam spadne dítě,
678920	681140	pes hodí tam někdo vajgla, nedej bože,
681720	682880	tak je to více méně
682880	684920	velmi potenciální hrozba.
685560	687280	A pokud se to tam vybagruje,
687780	688480	tak prakticky
688480	690440	je tady na snadě
690440	692800	vytvořit z toho další parkovací
692800	693440	místo.
695600	696460	Určitě ano, v tom
696460	698480	nejsme vepři, ale
698480	700380	musíme si jenom, musíme si musíme
700380	702640	zanalizovat opravdu ty nádrže a vlastně ty věci,
702740	703700	které už se prověřovaly,
704760	706720	kam určitě na to odpovíme, ať víte,
707180	708780	čemu jsme dospěli my v rámci té
708780	714860	v rámci té lokalizace toho problému, který jste upozornil
714860	717180	a určitě si ní budeme dál zabývat.
717360	719320	Takže já jenom teďka nemám úplně 100% informace,
719500	723480	tak nechci vám tady říkat věci, které například by nebyly úplně správné,
723940	726900	takže prosím děkuju za to upozornění, že jsem dostal odpověď
726900	731280	a my určitě na to odpovíme tak, abyste ty informace relevantní,
731280	736240	které jsme zjistili v rámci toho prošetření poukázaní a tento problém
736240	737480	a děkujeme za něj.
737480	745600	A v rámci teda té 106, lomeno 1999 sbírky zákonů, kdy dostaneme,
745840	749620	můžeme očekávat dostat odpovědi, jsme to podali 25.2.
750840	753680	Já si myslím, že příští týdne bychom tu odpovědi už mohli poslat,
753800	757700	protože samozřejmě jsou tam čtyře zákonné luty a v tu danou chvíli,
757700	761700	jak říkáte, to teďka prošetříme na základě toho, že je neodpověděno
761700	763040	a ten příští týdne to napravíme.
764320	764780	Děkujeme.
767480	773120	Poslední vyslupujícím pán Eduard Kuňák na téma nový mrakodrap.
779520	783540	Dobrý den, pane primátore, dobrý den, váží zastupitele.
785840	789820	Nevím, v jakém stádiu se nachází povolování nového mrakodrapu,
789820	791640	myslím, že se to mene prospekt, kde si se nepletu.
791640	803800	Nicméně ta věc mě trápí z toho pohledu, že vlastně občani nemají takový nějaký přehledný pohled na to,
803860	807340	jak to bude na ně půstat, jak to bude vypadat, protože ty pohledy, které byly prezentovány,
807340	814880	jsou dle mého názoru účelové a jak se to postaví, jak to budou občani vnímat,
814940	820240	jak to bude v poměru geometrických, tedy rozměru půdorysů versus výšky,
820240	825140	který je samozřejmě bezprecedentní, když budete nabítat NVTčko a něco podobného.
826060	831200	Ale to bylo stavěno v zástavbě výškových budov v té lajně,
831300	836200	kterou už i za komunistů a myslím, že i předchoří architektonické plány
836200	841280	nějak tolerovali jako takovou nějakou línii těchto výškových budov.
841640	847380	Tady tato věc se zcela vymyká této línii a okolním zástavbám.
847380	852060	Čili mě zajímá úplně, první otázka je, jak vysoká vlastně ta budova bude.
852140	855600	Já jsem se to nikde nedočetal, taková věc by měla být na prvním místě,
855660	858980	protože to je základní parametr toho, jak to tahle tabuda bude působit.
859100	864680	Čili ptám se, jestli to je úmyslně takhle, nebo proč to nebylo prezentováno
864680	871040	ve všech těchto poměrech. Takže dávám návrh, námitku k tomu,
871140	874700	aby byla provedena vizualizace, taková při dnešních technologiích
874700	879160	aby to neměl být vůbec žádný problém, jak to vlastně bude působit
879160	883160	v celkovém pohledu. Dříve, než se tato věc schválí
883160	888860	jako prostavitní pohlední. Takže toto je můj návrh
888860	893440	a myslím si, že by si to občany zasloužili. Jakmile se to postaví,
893540	897380	tak samozřejmě už se s tím nic neudělá a pak to může být vnímáno
897380	901220	zcela kontroverzně navždy. To je jedna věc.
901760	910240	Druhá věc, co mě trápí poslední dobou, je otázka stavu městského lesa pod Tlustou,
910440	919240	kde už několik let je tento les zcela okupován trejlisty a to v různých denních i nočních hodinách.
919240	926200	Včera se byl třeba vese na pomezí světla a tmy a potkal jsem asi čtyři nebo pět skupinek
926200	930660	z reflektory, které zářily do dálky, že i z města to muselo být vidět,
931260	938860	tak to je jenom takový vnější projev toho, jak si tihleti hoši vlastně vzali ten les
938860	944260	jako jakési rukovní a kde vlastně ten občan a příroda nemá vůbec žádnou šanci,
944260	949240	protože tak, jak je to provozováno těmi trehlisty bez jakéhokoliv souladu s něčím,
949600	955420	je to samozřejmě protizákonná činnost, tak to neznáme si a já.
955420	964140	Samozřejmě už jsem se bavil s několika osobami, kteří v té věci jsou činí nebo mohli by být.
964220	969100	Pan primátor byl taky vyzván mnou, aby jsme se šli podívat na místo.
969340	974840	Samotný on je sportovec, neodmítnu to, ale na někou stranu jsme se ještě nedohodli,
974940	979900	nebo spíš nebyl ten podnět ze strany jeho i pana Brady, kterého se to taky týká.
979900	983260	Taky jsme se několikrát o tom bavili, že to místo projde, aby jsme se podívali,
983260	987480	jak to doopravdy vypadá. A tím, že jsem tam denně, protože bydlím u lesa,
987620	992120	tak jsem schopen samozřejmě ukázat všechny ty cesty, které tam v tom lese jsou
992120	998260	a je jich tam nepočítaně. Bohužel se dotýkají i chráněných oblastí
998960	1006260	pro ochrannu životního prostředí nějaký úzes, se to tuší jmenuje tato záležitost,
1007620	1012280	kde jsou nějací živočichové a rostlí a tak dále chráněné určitým stupněm ochrany
1012280	1016680	a toto místo, které je nad Kulibou, je speciálně hrozili to nejvíc.
1017380	1021480	Prasata nám hrozili solidně za tu zimu i podzim.
1022260	1024520	Myslím, že trailisti to dokázali ještě lépe.
1025420	1027900	Takže toto bych chtěl, aby se řešilo.
1028400	1031780	Protože zatím, a tady bych se opíral především o zákonu,
1031780	1034460	protože zákon je jednoznačně, lesní zákon je porušovaný,
1034840	1037040	je ohrožovaný zdraví a životy občanů.
1037500	1040160	Bohužel víc toho nestinu příště.
1041200	1041840	Děkuji.
1042280	1044960	Poslední vystupující, předávám slovo zpět
1044960	1046900	panu primátorovi. Já na kterému budu reagovat.
1047020	1048860	Já v prý řeji se chci omluvit, že jsem vám včera zrušil
1048860	1050520	schůzku, protože já trošku
1050520	1053020	ze zrabotních důvodů
1053020	1054900	stál otevřeně všem, můžu tak to říct.
1054980	1056660	Není to o tom, že umírám, ale
1056660	1058940	aspoň doufám, že teda ne, ale věřím tomu,
1058940	1060840	že je to spíš o tom,
1060940	1062820	že tady nějakým samým týdnem bujím s nějakým nachlazením
1062820	1064680	a včera už jsem to prostě zrušil,
1064680	1068580	co se nemuselo být i skvěle dnešní zastupitelstvo, abych dneska tady mohl být.
1069180	1071900	Takže za to se omluvám, panu, a s tím, že určitě se potkáme.
1072700	1079080	Každopádně my jsme se měli potkat s panem Kuňákem včera právě kvůli tomu stavu toho lesa.
1080120	1083240	Stav je aktuálně ten, kdy pan Kuňák má naprostou pravdu,
1083400	1087400	že tam probíhají aktivity, které jsou nelegální.
1087400	1109460	A my v současné spozice města Zína vedle toho máme z tady skupinu zase i tu opačnou, která tuto nelegální činnost dělá z důvodu toho, že je to vlastně zastřešující jenom snaha o zastřešující spolek o legalizaci vlastně trailů v této lokalitě.
1109460	1116620	Je to samozřejmě problém, který se snažíme nějakým způsobem výjít z toho tak,
1116740	1121660	aby jednak bylo zabezpečeno a v první řadě bylo zabezpečeno opravdu ochrana
1121660	1125460	všech obyvatel a návštěvníků toho lesa.
1126980	1129880	Vedle toho samozřejmě na druhou stranu vnímáme i ty moderní trendy
1129880	1136700	a to, co se vlastně obecně v rámci nejen České republiky děje,
1136700	1141680	což, jak řekněme, ten trend těch trailů je a například lesy České republiky
1141680	1146140	k tomu mají přímo vydanou metodiku, jakým způsobem to lze v těch lesích dělat.
1146300	1151840	Takže my na základě toho teďka řešíme i varianty a hledáme cesty
1151840	1158480	víceméně na všech stranách, jakým způsobem tady ty trajly v rámci města Zdína povolit,
1158940	1164120	kdy neříkám, že to je konkrétně jenom výhrada v této lokalitě,
1164120	1167280	řekněme, to je tlusté hory, ale například by to mohli právě někde jinde,
1167280	1171280	kde ta fluktuace lidí a návštěvnost toho lese není tak vysoká.
1172500	1176480	Každopádně nás celotevřeně i tento stav, který aktuálně probíhá,
1176540	1180160	nás netěší, protože, jak jsem řekl, potvrduji to, co říkáte,
1180240	1184960	to, co tam, řeklíme, ti cyklisté, kteří tam lítají po lese,
1185080	1192620	tak opravdu je to nelegální a ve výsledku z pozice zprávce lesa
1192620	1196840	se, když se řeknu, i město s dým snaží dělat kroky k tomu, aby tam nebyly.
1197560	1202520	S tím, že vedle toho zase, když jsou značně slušně řečeno,
1202640	1206360	rozladíme tu skupinu, která to tam provádět chce a odkazuje se na to,
1206360	1211460	že je například povolená stezka zdraví v dané lokalitě,
1211840	1214080	tak proč není, když je povolená stezka zdraví,
1214200	1218520	tak proč není možné povolit stezku pro trail nebo pro cyklisty.
1219140	1222400	Takže říkám, ta situace není úplně jednoduchá,
1222620	1231200	kdy hledáme cestu tak, abychom zejména v první řadě opravdu co nejvíce zabezpečili to neohrožení,
1231340	1238660	jakékoliv neohrožení bezpečí občanů, kteří jsou návštěvníci těchto prostor,
1238740	1244400	ať už je to pro ta tlustá hora nebo někde jinde, ale zároveň zase vnímáme,
1244400	1251100	že samozřejmě, když jsou moderní, tak je potřeba najít cestu, jakým způsobem povolit v nějaké lokalitě
1251100	1257560	a tak, aby byly zase využívány, protože když je povolíme někde na totální periferii,
1257560	1264280	tak je otázkou samozřejmě, jestli to splní ten účel, který vlastně očekává zase ten spolek,
1264360	1271640	který je za tímto cílem založen. Takže ty chci mi chci říct, že to řešíme a hledáme cesty.
1273460	1280320	Vedle toho ještě jste začínal budovou prospektu. Já bych vám na to strašně rád reagoval,
1280320	1286240	ale s pozicem města, my nejsme vůbec investorem, my vlastně nejsme víceméně orgánem,
1286400	1295320	který je v detailu a co se týká výšky, tak to samozřejmě investor řeší například
1295320	1300580	s památkáří, řeší to samozřejmě i s naším, například s naší kanceláři,
1300620	1305600	až teď ta města, pokud vím já, tak se měla dělat studie vlastně výškových budov
1305600	1310780	v té dané lokalitě právě na to, aby se řešilo, jak ta budova může být vysoká.
1311500	1315500	Na druhou stranu já vám řeknu zcela otevřeně, že já za sebe říkám,
1315600	1319860	že pokud to jde, tak pokud jakákoliv budova v nějaké lokalitě lze,
1319860	1323860	v rámci právě té lokality, tak čím vyšší bude, tím za mě lepší
1323860	1327820	pozice rozvoje města Zlína, protože ve chvíli, kdy budeme stavět
1327820	1331640	dvoupatrové objekty nebo tady pořád čtyři patra, tak v tu danou chvíli
1331640	1336340	ten rozvoj asi úplně moc velký nebude, stejně jako hustota obyvatel
1336340	1340220	bude spíše řídnout, než aby zůstala alespoň stejná,
1340660	1343860	ne-li v lepším případě se zahušťovala, obzvláště v centru.
1344540	1349520	Takže já za sebe vnímám tento projekt jako ambiciozní,
1349940	1355180	já za sebe ho velice vítám a věřím tomu, že se podaří opravdu ho vlastně,
1355180	1359520	že tomu soukromu investorovi se ho podaří realizovat a aby to bylo možné,
1359520	1363000	tak samozřejmě pro něho je důležitá právě ta výška i v té lokalitě,
1363100	1367760	takže já věřím tomu, že nalezné společnou cestu
1367760	1373760	zejména památkáři, kteří v té lokalitě vlastně opravdu vnímají
1373760	1378920	ten prostor na městní práce a ty debaty nejsou jednoduché, co vím já,
1379360	1385380	ale věřím tomu, že opravdu zvítězí cesta rozvoje města Zlína
1385380	1392380	s nějakými jasnými parametry a řekněme to, co dává nějaký smysl,
1393220	1397960	ale opravdu si myslím, že jestli je tam opatrov víc nebo méně,
1397960	1401080	tak jako za mě je klidně, že je tam opatrov víc celé otevřeně.
1401520	1404180	Ale chápu i vaši obavu, co se díká nějakých pohledů,
1404280	1408480	například z letné, i z jiných lokalit, ale to všechno vlastně investor
1408480	1413080	bude muset doložit v rámci jednání s památkáří, kteří se tím zabývají
1413080	1417340	a na základě tohoto jednání s památkáří to vlastně povolit,
1417760	1422440	protože stavební úřad se k tomu taky bude muset se logicky vyjadřovat
1422440	1428040	a dočeným orgánem, který se to musí víceméně vyjadřit, jsou právě památkáři.
1428040	1435080	Takže těch možností, řekněme, té regulace nebo těch brzd k tomu,
1435160	1438920	aby tam nevzniklo něco, co má 60 patr, když to pře ženu je mnoho.
1438920	1442460	teď je však otázkou samozřejmě
1442460	1444520	jak se investor dohodne
1444520	1446700	s těmi, v rámci těch jednání
1446700	1448320	s těmi lidmi, kteří se kvůli toho
1448320	1450320	kteří vlastně budou psát ta stanoviska
1450320	1453140	a ta jednání, co vím já, tak probíhají
1453140	1454680	takže to spíš jenom
1454680	1456320	takto, protože nic blížšího nevím
1456320	1458440	aktuálně, protože byla nějaká výška
1458440	1460200	ta se pak měnila, ta se zase změnila
1460200	1462280	jo, to už se, ta výška, co vím já
1462280	1464500	tak se změnila už asi třikrát, než čtyřikrát
1464500	1466560	a aktuální stav já vám neřeknu
1466560	1473440	protože opravdu to je stavba soukromého investora, který za mě, pokud tu stavbu postaví,
1473520	1476080	tak toho Zlínu jenom prospěje. To mám za mě.
1476260	1480720	Můžu k tomu seřinku? Jestli dobře vím, poslední varianta je 16 patr,
1480800	1483480	pletu se nebo ne? Někdo. Asi je, že?
1483700	1491340	Já vám opravdu neřeknu. Co vy poslední v informaci já, tak se to řeší skrze výšku hotelů Zlín.
1491340	1500080	A vlastně řešilo se, že investor to chce snad opatro vyšší než hotel z Lín,
1500200	1502000	což já si nemyslím, že je nějaký problém.
1503000	1508460	A jiní říkají, že to může být maximálně stejně vysoké jak hotel z Lín,
1508560	1513220	což pak jako v té lokalitě, když to vezmete, že to má být,
1513360	1517780	že hotel z Lín, jak je to velká stavba, tak jak je široká,
1517780	1521880	tak ono vlastně ve výsledku, ta výška, ona je relativně,
1522100	1524900	není jako tak býcí, jako nechci si nějaká přirozená,
1524980	1529080	nechci býcí do očí, ale ve chvíli, kdy tam chcete stavět
1529080	1532780	a chcete vlastně opravdu víc stříc Gahurové prospektu,
1533600	1535900	chcete víc stříc té architektuře náměstí práce,
1536000	1538580	tak to řešení, ten návrh té budovy, tak jak ho mají navržený,
1538680	1542120	tak jako dává smysl, ale aby dával smysl i objemově,
1542260	1544960	tak vlastně v tu danou chvíli ta věž musí být jako vyšší
1544960	1548900	než ten hotel Zlín, protože vám to ekonomicky nevíde.
1549660	1554400	Ta hmota prostě je nějak stanovená a samozřejmě ta hmota vám pak generuje nějaký příjem,
1554520	1558680	takže pokud vy se nedostanete do toho, aby vám to dávalo nějakou ekonomickou,
1559160	1561820	nechci říct ani soběstačnost, ale ekonomický smysl,
1562320	1566400	tak potom v tu danou chvíli ten objekt těžko vznikne.
1566540	1571180	Takže já za sebe proto říkám, klidně ať tam vznikne, říkajme, taková budova,
1571180	1576480	která doplní to náměstní práce a jestli bude o něco vyšší než hotel z lín,
1576740	1583600	kdy tak jako já v tom za sebe problém nevidím, ale samozřejmě to musí obhájit
1583600	1588060	a schválit orgány, které v tom stavebním řízení k tomu ta stanoviska vydávají.
1588600	1594880	K tomu můžu ještě něco? Já si myslím, že tam trošku je v kontraverzi i ten prior,
1594880	1600740	když se vezme nějaká ta línie, hnutá teda Hotel Moskva, tady ten prospekta a prior,
1600860	1602920	takže by toto mělo být v nějakém souhlasu.
1603000	1606200	Jinak se týká těch výškových budov, já si myslím, že v těch minulých plánech
1606200	1611740	bylo učeno to udelní území k tomu, samozřejmě ten areál svitovský,
1611880	1615940	který je zabetonovaný nějakým způsobem v nějakých procesech,
1616040	1619020	ale myslím, že mi se to by nemělo ztrácat ambicii k tomu,
1619020	1624460	aby s majitelem celého toho na té části tam bylo v neustalém kontaktu,
1624460	1628240	protože tady si myslím, že je v rozvoji prostavu takovýchto budov,
1629100	1633820	tak to je jenom můj takový názor a myslím si, že toho mu tomu se stejně kdříve
1633820	1637660	nebo později město nevyhne, mělo by se zůstřit i na tuhletu věc.
1642760	1647320	Jo, ještě co se týká toho lesa, já teda ještě k tomu dodám,
1647800	1651660	v své osobní zkušenosti byl jsem několikrát ohrožen na zdraví i životě,
1651660	1654800	doslova do písmene. Nechtěl jsem to tady takhle prezentovat,
1654880	1657860	ale opravdu mluvím i sám za sebe, nejenom za ty lidi,
1658040	1662940	kteří se tam pohybují. Prostě já nebudu popisovat do detailů,
1663040	1665320	tak, jak to bylo, když bude zájem se v té věci setkat,
1665420	1667780	to si myslím, že právě ze strany tady těch aktivistů,
1667900	1672540	tože jak to jinak nazvat, není, protože jakékoliv pokusy,
1672540	1675980	abych možná vyzvali místního zastupitela Andru Slováčka,
1676060	1678040	myslím, že v té věci měl nějaké jednání s něma,
1678040	1686540	aby to doplnil, že ta snaha nějak se s něma domluvovat naráží na absolutní nezájem.
1686720	1695840	To se ptal i pana Divokého, že tady jsme zajedno i s panem Divokým v věci využívání
1695840	1699400	nebo spíš zneužívání toho lesa, protože to se jinak nazvat nedá.
1700240	1705740	A nelze ustupovat, já to řeknu normálně, jsou to kluci z povykanosti,
1705740	1708480	která přechází v agresii, protože takhle to bohužel je.
1710520	1711960	Tak nějak asi.
1712540	1712740	Děkuji.
1712760	1715840	Dobrá, děkuji. Já jenom to doplním ještě jednou.
1717960	1722000	Co se týká toho objektu soukromoho investora, tam, jak jsem řekl,
1722240	1725720	je potřeba, oni si musí spočítat tu hmotu, tak aby jim to vlastně vůbec vyšlo
1725720	1730520	v rámci té stavby, v rámci té ekonomiky celého objektu a myslím si,
1730520	1733780	že kam já budu určitě podporovat to, aby to vzniklo a klidně,
1733780	1736640	ať je to pomalu o dvě patra vyšší, než ho to jezdím,
1736720	1738480	prostě pokud to dává smysl, aby to vlastně,
1738560	1741880	protože si myslím, že ta budova opravdu prospěje městu z dínu a náměstní práce.
1742440	1747000	Co se týká těch trailistů, já vás klidně propojím, to není problém prakticky,
1747120	1750580	ale dostanete se vždycky do té situace, co říkají sami,
1750660	1753400	že oni jsou schopni ovlivnit určitou skupinu,
1753400	1759580	ale určitě nejsou schopni udržet, jak se říká, na řetězu více těch mladších,
1759580	1762420	kteří tam jezdí, protože tě mohou říkat, co chtějí,
1762500	1765560	ale ve výsledku všichni víme, jak každý má svoji hlavu
1765560	1769680	a prostě si myslí, že může dělat cokoliv, pokud ho...
1769680	1770860	protože ta doba je taková.
1771420	1774340	Takže určitě já vás klidně propojím, počítám,
1774400	1778240	že zkuska proběhne i jako se mnou a kam budeme hledat cesty.
1778640	1781280	Takže ten stav, který tam je, není správný
1781280	1782580	a není udržitelný do budoucna.
1783060	1785700	To, co jsme si už osobně domlovali, že se tímhle sem projdeme
1785700	1790600	s panem radou, platí to dohledně do mě. Dá se říct ještě v dublu,
1790680	1791760	že by to mohlo problémat.
1792840	1795540	Domluvíme se, určitě se domluvíme na tom. Dobrá, děkuji.
1795620	1797000	A prosím ještě nám, jstek Pavel Breda.
1798940	1804240	Dobré dopoledne všem. Pane Kuňáku, takže já za sebe potvrduji určitě vůli
1804240	1808180	a chuť se s vámi potkat, projít si to na místě, takže pravděpodobně se domluvíme
1808180	1814920	i s panem Primátorem. Já jsem na místě byl, znám ten terén a možná řeknu ještě jednu věc.
1814920	1821840	Já chápu a je pravda, že aktuálně ty trady nejsou povolené a není to legální.
